burnham park|-74.4966539 40.798698
prestige toyota of ramsey|-74.1332085 41.0683501
dunkin|-74.1349748 41.0657827
burger king|-74.1354796 41.0666703
td bank|-74.1355675 41.0669901
citymd|-74.1362012 41.0681122
shoprite|-74.1371181 41.0677663
citgo|-74.1398106 41.0711264
the shannon rose irish pub|-74.1344223 41.0688749
new castle building products|-74.1449562 41.0738418
kinchleys tavern|-74.1387257 41.0777354
the home depot|-74.1465567 41.0792205
boston market|-74.149057 41.0799235
frost king|-74.1537271 41.0811299
stryker medical|-74.1537008 41.0833043
state line diner|-74.1508233 41.0842834
valero|-74.1504652 41.0828237
homewood suites by hilton|-74.1562091 41.0861886
fedex ship center|-74.1543315 41.0874584
hampton inn  suites|-74.1546169 41.0894083
quickchek|-74.1549864 41.0902867
liberty hyundai|-74.1524482 41.0889955
blackman plumbing supply|-74.1553585 41.0909054
bp|-74.1537239 41.0910864
short line bus company|-74.1643845 41.1017938
quick stop|-74.165072 41.1011995
liberty|-74.1646949 41.1010457
suburban propane|-74.1633031 41.1003327
bank of america|-74.1569099 41.0949097
bolla market|-74.1579492 41.0960488
valero|-74.1571582 41.0967333
doubletree|-74.1592351 41.0965958
super|-74.1598017 41.0972643
reddot truck service|-74.1580243 41.0974483
mcdonalds|-74.1604892 41.0976706
bp|-74.1608699 41.0980883
the mason jar|-74.162795 41.0975226
mahwah|-74.1467441 41.0942076
sculpture studio|-74.1739911 41.0866369
visiting scholars residence|-74.1793312 41.0814789
pamela m bischoff hall|-74.1741623 41.0840815
nancy mackin hall|-74.1740664 41.0847758
science|-74.1721894 41.0832495
elm|-74.1719772 41.083679
butternut|-74.1720985 41.0842945
mulberry|-74.1717101 41.0841878
tamarack|-74.1719607 41.0849251
sycamore|-74.1715573 41.0851916
cypress|-74.1716934 41.0846885
mimosa|-74.1714462 41.0838176
international|-74.1717981 41.0833755
palm|-74.1719723 41.0829519
the lodge cpa|-74.1700957 41.0840442
redwood|-74.1702082 41.0832998
holly|-74.1704852 41.0828882
hickory|-74.1700856 41.0829869
buckeye|-74.1703641 41.0825405
student health services|-74.1801101 41.0807609
thomases commons|-74.1777333 41.0784663
new york new jersey trail conference|-74.1843367 41.0795915
crocker mansion|-74.1909018 41.0726883
dining hall|-74.2381118 41.0630566
tickets|-74.1950614 41.0596322
law and public safety institute|-74.18228 41.0578969
george washington elementary school|-74.1760692 41.0412827
fardale trinity church|-74.1788254 41.0397825
fardale chapel|-74.1799394 41.0387572
hour fitness|-74.122605 41.06238
chick fil a|-74.1236897 41.0619562
houlihans|-74.1228079 41.0615656
bridgestone|-74.1252473 41.0619461
wortendyke park|-74.1503716 40.9970916
target|-74.0226677 41.1048583
costco|-74.0249728 41.106939
njsp bloomfield parking|-74.178845 40.8396308
the store|-74.1371959 41.0573281
cafe panache|-74.1383292 41.0573918
west belt plaza|-74.2508109 40.8900355
willowbrook plaza|-74.2524582 40.8866526
amc wayne|-74.2506255 40.8881438
firestone|-74.2532036 40.8881022
macys furniture gallery|-74.2568121 40.8923235
spook rock municipal golf course|-74.101768 41.1288364
new york country club|-74.049593 41.1381365
george washington middle school|-74.1273167 40.9803182
van neste square memorial park|-74.1176256 40.9789367
lutheran church of the redeemer|-74.1484037 41.0558582
ventimiglia west field|-74.2859019 40.9824521
watchung park|-74.2075495 40.8303624
watchung plaza|-74.2064124 40.8301961
ridgewood high school|-74.1063099 40.977746
the valley hospital|-74.1005078 40.9836513
benjamin franklin middle school|-74.0996028 40.9860539
volvo cars ramsey|-74.1223672 41.0582466
ramsey auto group|-74.1220485 41.0576784
ramsey infiniti|-74.1219078 41.0570866
joe heidt motors corp volkswagen|-74.1215794 41.0562346
ihop|-74.1211404 41.055666
fuda tile  marble of ramsey|-74.1206938 41.0549756
ramsey inn  suites|-74.12058 41.0544724
a fazio moving  storage|-74.1188188 41.0537674
ramsey mazda|-74.1191462 41.0545415
bottle king|-74.1196181 41.0555041
classic auto spa  express lube|-74.1199845 41.0563154
model electronics|-74.1203148 41.0567484
meineke|-74.1205216 41.0570513
porcelanosa ramsey|-74.1204069 41.0579231
zinburger|-74.4639918 40.8442865
morris plains post office|-74.4798559 40.8253813
saint virgils roman catholic church|-74.4822037 40.821757
fairchild fire company|-74.4894584 40.8233434
gaf|-74.4598188 40.8438051
stop and shop|-74.4632464 40.8421854
powertech|-74.1209555 41.0522528
jack daniels porsche|-74.1194319 41.0515753
office suites and services|-74.1195311 41.0521126
ramsey alfa romeo fiat|-74.1198832 41.0524622
ramsey nissan|-74.1202304 41.0534001
valero|-74.1186553 41.0525528
exxon|-74.118619 41.0502996
fair motel|-74.1184257 41.0497455
subway|-74.1174597 41.0498809
jack daniels audi of upper saddle river|-74.1184111 41.0492016
maserati of bergen county|-74.1172489 41.0466655
valero|-74.1161468 41.0467362
exxon|-74.1164225 41.0451292
ramsey acura|-74.116593 41.0447342
extended stay america   upper saddle river|-74.1151486 41.0454898
paddock park|-74.0758629 40.8185328
woodlands at ramsey|-74.146493 41.051354
day pitney llp|-74.4075117 40.858499
the barn|-74.1702198 41.0589671
mens bathroom and changing room|-74.1730503 41.0591669
snack bar|-74.1730931 41.0594222
womens bathroom and changing room|-74.1733769 41.0595475
medieval times dinner  tournament|-74.1068361 40.8074305
ridge elementary school|-74.1310048 40.9859264
cosmetic essence llc|-74.0173908 40.8283317
shoprite|-74.1835169 40.8375137
truck parking|-74.1898013 41.1542067
sloatsburg service area|-74.1881542 41.1512954
car parking|-74.1896143 41.1539044
truck parking|-74.1881274 41.1519003
macopin pizza|-74.3830597 41.0433785
west milford high school|-74.3810682 41.0791398
west milford high school parking|-74.382405 41.0782237
vesuvio pizzeria|-74.3748638 41.0862359
walkers deli|-74.3741897 41.0852268
macopin middle school|-74.3834948 41.0773344
saint joseph roman catholic church|-74.391193 41.0448152
jake voorhis park|-74.0450577 40.9900031
salvation army|-74.4802308 40.8009676
wallington little league|-74.1027277 40.8525897
wallington junior senior highschool|-74.1068679 40.8550338
john lulay memorial fields|-74.1052025 40.8541635
joseph j rosol courts|-74.1063235 40.8547582
frank w gavlak elementary school|-74.1039935 40.8532733
mount pleasant avenue playground|-74.1021365 40.8521373
dul field|-74.1006305 40.8481763
jefferson school|-74.1003104 40.8548298
centennial field|-74.098781 40.8521216
sacred heart church|-74.1152376 40.8512882
wallington presbyterian church|-74.1162241 40.8518541
transfiguration of our lord|-74.1122064 40.8546752
john f kennedy memorial library|-74.1125376 40.8551623
wallington department of public works|-74.1136517 40.8560639
lester st boat ramp|-74.1131654 40.8584824
wallington outdoor hockey rink|-74.1129726 40.8559877
tennis courts|-74.1109662 40.8480462
basketball courts|-74.1085479 40.8494395
da stadium|-74.1052282 40.8606732
county field|-74.1096231 40.8485765
county playground|-74.1093535 40.8476967
td bank|-74.1166203 40.9809754
stop  shop|-74.1157344 40.9809709
ridgewood post office|-74.1165371 40.9795722
rockland community college|-74.0895171 41.1333477
town of ramapo municipal building|-74.1098583 41.111453
village of suffern municipal building|-74.1501226 41.1141071
sacred heart school|-74.1491674 41.1142506
church of the sacred heart of jesus|-74.1490991 41.114695
st marys indian orthodox church|-74.1492559 41.1133098
masjid darul ehsan|-74.1498543 41.1155445
christ episcopal church of ramapo|-74.1504101 41.113611
living waters fellowship|-74.1501735 41.1119686
suffern united methodist church|-74.1385937 41.1045443
montebello jewish center|-74.1169688 41.1219966
avon research and development|-74.1470975 41.1157827
academic i|-74.0859952 41.1347913
theresa morahan simmons center for children and families|-74.0865768 41.1353285
cultural arts center|-74.08606 41.1331611
academic ii|-74.0862858 41.1343264
library media center|-74.0866591 41.1338458
eugene levy fieldhouse|-74.0873271 41.1320677
technology center|-74.0848611 41.1344439
visitor parking|-74.0845011 41.1321913
staff parking|-74.0852701 41.132743
student parking|-74.0847197 41.1353744
staff parking|-74.0858607 41.1354618
student parking|-74.0863413 41.1314655
tagaste monastery|-74.1352643 41.1130017
village of airmont municipal building|-74.0988877 41.105526
suffern free library|-74.1372341 41.1134267
ramapo high school|-74.0625634 41.1357675
salvation army school for officer training|-74.1410287 41.1121442
suffern middle school|-74.1259998 41.1215032
montebello road elementary school|-74.1236481 41.121208
suffern high school|-74.1097976 41.1334165
good samaritan hospital|-74.1344601 41.1110164
richard p connor elementary school|-74.1354233 41.1075039
cherry lane elementary school|-74.0988267 41.1018449
viola elementary school|-74.1097803 41.142885
ramapo central school district administration building|-74.16985 41.1249254
sloatsburg elementary school|-74.1862555 41.1653922
tgi fridays|-74.1545873 40.8381067
ramapo service area|-74.1897026 41.1530671
charlie browns fresh grill|-74.4851887 40.8954649
saint marys church|-74.4821756 40.8948287
saint marys school|-74.4824855 40.8953534
denville town hall and courthouse|-74.4833252 40.8955661
denville hardware|-74.4762233 40.8929193
grassroots market|-74.4763593 40.8929989
broadway gulf inc|-74.4760195 40.8921733
carquest auto parts|-74.4759519 40.8920852
denville firestone|-74.4729738 40.8903905
hampton inn denville rockaway parsippany|-74.498978 40.9080342
the church of the saviour|-74.4850317 40.901
two blue hill plaza|-74.0071897 41.0475177
life guard shack|-74.1731006 41.0599551
volleyball court|-74.173292 41.0609911
basketball court|-74.1766493 41.0622201
warwick valley country club|-74.3661171 41.2511386
joseph g lurker memorial park|-74.344215 40.8313466
lp|-74.3445458 40.831159
lp|-74.343299 40.8309198
lp|-74.3448893 40.8315419
lp|-74.342971 40.8304088
lake welch|-74.0726441 41.2365558
walmart|-74.1072185 41.113365
tallman bible church|-74.1028523 41.111563
wendys|-74.099256 41.1114491
warwick valley high school   warwick wildcats|-74.3853169 41.2517868
washington park terrace|-74.489247 40.800108
abbett business park|-74.47273 40.8015729
marshall hill elementary school|-74.3505736 41.1340356
st paul baptist church|-74.2181006 40.8038892
the home depot|-74.0655223 40.8855666
apshawa preserve parking|-74.3739418 41.0252126
parking lot p|-74.0469283 40.9294118
parking lot p|-74.046798 40.9329324
parking lot p|-74.0475175 40.9334267
price chopper|-74.3803639 41.2404196
leo kaytes ford|-74.3804562 41.2374953
silvios italian villa|-74.4100947 41.2371311
avis budget group|-74.4507241 40.848545
essex toll plaza|-74.1843358 40.8051224
watchung toll entrance|-74.1766503 40.829671
watchung toll exit|-74.1778777 40.8294294
passaic toll entrance|-74.1744959 40.8523561
passaic toll exit|-74.1751454 40.8502998
mcdonalds|-74.3674347 40.8045058
east hanover diner|-74.3704384 40.8058502
paramus toll entrance|-74.066555 40.9578338
paramus toll exit|-74.0654831 40.9599782
pascack valley toll plaza|-74.0712766 40.979618
clifton toll entrance|-74.165691 40.8782679
kraft foods|-74.4314568 40.8278219
whippany cycles|-74.4319945 40.8289496
hilltop|-74.3713226 40.8072412
rei|-74.369371 40.8064374
walmart|-74.4572508 40.8096833
the home depot|-74.3732168 40.810479
united way of northern new jersey|-74.4585614 40.8110171
kiddie academy|-74.456338 40.8113922
john street park|-74.3048542 40.9371473
building|-74.3903364 40.8098077
building|-74.3906902 40.8104738
building|-74.3909376 40.8098626
building|-74.3913263 40.8090346
building|-74.3922701 40.8081236
building|-74.3919516 40.8077087
building|-74.3913285 40.8063498
building|-74.3906962 40.8059064
building|-74.390694 40.8052491
building|-74.3897499 40.8049777
building|-74.3913912 40.8049193
building|-74.3906718 40.8046014
building|-74.3874982 40.8055583
building|-74.3867097 40.8048542
building|-74.3859924 40.8046472
building|-74.3862349 40.8057909
building|-74.3855144 40.8056653
building|-74.383732 40.8049836
building|-74.3855687 40.806861
building|-74.3844626 40.8076556
building|-74.3851831 40.8078594
building|-74.3858482 40.8080537
building|-74.3870708 40.8102415
building|-74.3905437 40.811318
reeves meadow visitors center|-74.1683546 41.1739895
new jersey motor vehicle commission  north bergen|-74.0027581 40.8077808
basketball court|-74.4959885 40.8458526
mountain way park parking|-74.4963514 40.8463918
volleyball court|-74.4961589 40.8458025
lake tiorati parking area|-74.0895207 41.2746688
ramapo valley county reservation parking|-74.1869901 41.0777321
hudson tranmission project|-74.012742 40.8321972
valve hall|-74.0124533 40.8321748
main theatre|-74.089358 40.9523242
centennial field|-74.2579188 40.8355349
saint margarets church|-74.4830962 40.8036178
morristown jewish center|-74.4817312 40.8039357
green way market|-74.1133378 40.9811828
ridgewood emergency services|-74.1165876 40.9862827
raymonds|-74.1178278 40.9796959
van emburgh funeral home|-74.1130675 40.9783056
ben  jerrys|-74.1173685 40.9806807
bow tie warner theater|-74.1154738 40.9786282
our lady of mount carmel church|-74.1196236 40.9784584
ridgewood united methodist church|-74.1181956 40.9782006
ridgewood public library|-74.1120953 40.9815076
ridgewood village hall|-74.1117235 40.9822521
ridgewood hot bagels|-74.1134106 40.9810034
talbots|-74.1169584 40.9784962
whole foods market|-74.1224966 40.9784048
west bergen mental healthcare|-74.1188915 40.9829513
engine company|-74.127382 40.9941641
the home depot|-74.0721085 40.956758
the fireplace|-74.0786126 40.9693336
barnes  noble|-74.0820026 40.9732036
park and ride|-74.0279732 40.8264844
green meadow waldorf school|-74.0619364 41.0814347
sunbridge institute|-74.0637294 41.0834752
denville public library|-74.4734509 40.8964867
rock ridge baseball field|-74.462004 40.9152348
gardner field basketball courts|-74.4840013 40.8970087
gardner field tennis courts|-74.4845376 40.8969161
rock ridge clubhouse|-74.4621821 40.9119199
rock ridge baseball field|-74.4617746 40.9146146
burger king|-74.4861055 40.8958722
gardner field field|-74.4863547 40.8985069
rock ridge basketball court|-74.4614613 40.912025
denville fire housedenville firehouse|-74.479245 40.889579
gardner field field|-74.4851209 40.8982609
rock ridge playground|-74.4628458 40.9122916
gardner field field|-74.4854795 40.8973508
valleyview middle school|-74.4626597 40.9059947
gardner field|-74.4840138 40.8964125
rock ridge clubhouse|-74.4630098 40.9120636
gardener field playground|-74.4848163 40.897238
denville recycling center|-74.4836898 40.9015101
gardner field field|-74.48611 40.8976838
rock ridge tennis courts|-74.461668 40.9118133
gardner field volleyball court|-74.4864313 40.8989906
gardner field field|-74.4836399 40.8980441
riverview elementary school|-74.482834 40.8971309
gardner field field|-74.4838129 40.8974617
todd johnson field|-74.4824532 40.8983448
muriel hepner park playgrounds|-74.4640498 40.9073787
saint gregory barbarigo school|-73.9992109 41.2153753
dog park|-74.0286709 41.0216687
northern highlands regional high school|-74.1437502 41.0358099
oyo hotel|-74.3826892 40.8114274
target|-74.3807915 40.8137669
costco|-74.3793891 40.812757
mcdonalds|-74.3871517 40.8625924
applebees|-74.38545 40.8624091
chilis|-74.3815802 40.810372
lyndhurst town hall|-74.1245854 40.8126051
lyndhurst ems|-74.124044 40.8128808
rite aid|-74.1231023 40.8115149
michaels salumeria|-74.1204838 40.8094451
twp of washington town hall|-74.0641624 40.9873198
washington town center|-74.0628847 40.9858912
bergen county adult education|-74.0349826 40.900771
shoprite|-74.1186731 40.8120741
kingsland station|-74.1172558 40.8101391
lyndhurst station|-74.1242546 40.8163513
calvary lutheran church|-74.1312733 41.0376439
orchard park|-74.1261827 41.0279399
watnong park|-74.479914 40.8334212
graydon pool|-74.1112003 40.9844347
maple field|-74.1100734 40.9857885
powder mill heights|-74.4859688 40.8482815
childrens park|-74.4920509 40.8418947
plaza centre building|-74.1223137 40.980204
panico salon  spa|-74.1165534 40.979062
somerville elementary school|-74.0993992 40.9737103
quest diagnostics|-74.0989725 40.8046785
silvermine lake parking area|-74.0597241 41.2955326
wells fargo|-74.4654343 40.8441885
henry p becton regional high school|-74.0931634 40.8321835
fairfield inn east rutherford meadowlands|-74.0839026 40.8295912
residence inn east rutherford meadowlands|-74.0831579 40.8281713
east rutherford fire dept hq|-74.1009509 40.8354467
east rutherford police dept|-74.1012381 40.8355487
pompton lakes town square|-74.2932608 41.0088582
pompton lakes train station|-74.2908045 41.0066923
benjamin franklin plumbing of pompton lakes|-74.2956837 41.0081547
td bank|-74.294935 41.0081725
river lodge|-74.2920482 41.0069233
contes automotive  equipment|-74.2935904 41.0068821
starbucks|-74.2928777 41.0077888
washington building|-74.2912854 41.0058157
lakeside park|-74.2793448 41.0058865
valley bank|-74.2904281 41.0000053
wielkotz  company llc|-74.290114 41.0014898
st marys roman catholic church|-74.2898011 41.0021291
united states post office|-74.2895951 41.0052689
columbia bank|-74.2899772 41.0011912
pompton lakes municipal building|-74.2902949 41.0032633
al mustafa islamic center|-74.2879799 41.0001079
pompton lakes civic center|-74.2906978 41.0034943
associated eye physicians|-74.2897961 41.0004877
the side door bar  grill|-74.2900669 41.0060111
federal square|-74.2897943 40.9998278
carnevale center|-74.2906097 41.0027473
pompton lakes public library|-74.2904057 41.0020422
pompton lakes fire department|-74.2888301 41.0000438
rhino theatre|-74.2914207 41.0042279
pondhole parking lot|-74.2907947 41.0046474
cardinal auto care|-74.2905358 41.0058862
circle a convenience store|-74.2909034 41.0026807
hr automotive|-74.2908034 40.9997668
stiles park|-74.2802806 40.9870335
pompton reformed church|-74.2954367 40.9994292
police memorial park|-74.2860689 40.994075
pompton lakes day care center|-74.2839532 40.9920701
pompton lakes riverdale first aid squad|-74.286511 40.9939538
solar products inc|-74.2933995 41.0051498
foothills park|-74.3132542 40.9798076
holiday inn express haskell wayne area|-74.3015815 41.0176608
pompton lakes high school|-74.2889154 41.0045816
burger king|-74.3004156 41.0175961
pacifico gallo park|-74.2979609 41.010012
stop  shop|-74.2986237 41.0186565
veterans memorial park|-74.2759504 41.0074593
pompton lakes senior housing|-74.2920716 41.0105717
tgi fridays|-74.2518306 40.8913636
jcpenney|-74.2529445 40.890065
panera bread|-74.2519915 40.8888775
willowbrook mall|-74.2592547 40.8890712
olive garden|-74.2532391 40.8920365
new york giants main offices|-74.0856573 40.8127108
quest diagnostics performance center|-74.0855285 40.8132624
indoor practice field|-74.0863337 40.8137953
renaissance meadowlands|-74.1041317 40.8115047
westfield garden state plaza|-74.0762118 40.9177873
garage a|-74.0768191 40.9200838
target|-74.3250568 40.9900795
chilis|-74.3167186 40.9924037
pier  imports|-74.3147542 40.9923393
meadowland sports complex|-74.0764485 40.81567
wendys|-74.0077344 41.0961891
bill bradley sports and recreation center|-74.1776514 41.0819441
b wing|-74.1742651 41.0806795
green house|-74.1736328 41.0822165
birch mansion|-74.1754097 41.0811493
trustees pavillion|-74.1739408 41.0832394
d wing|-74.1744495 41.0813677
a wing|-74.1746561 41.0802356
havemeyer arch|-74.1744532 41.0810247
security booth|-74.1763906 41.0825946
student center|-74.1736704 41.080609
havemeyer house|-74.1796703 41.0822893
sharp sustainability education center|-74.1797791 41.0787039
bandshell|-74.1755358 41.0830373
salameno spiritual center|-74.1733664 41.0814486
the overlook|-74.1708758 41.0816307
anisfield school of business|-74.1741008 41.0824756
mcbride house|-74.1765266 41.082277
e wing|-74.1749925 41.0816395
h wing|-74.1738769 41.0816718
padovano commons|-74.1732236 41.0810484
c wing|-74.1739934 41.0810808
g wing|-74.1744495 41.082003
legge house|-74.1986175 40.85703
presidents house|-74.1988831 40.8566274
coder house|-74.1990661 40.8570805
center for autism and early childhood mental health|-74.1992697 40.8571445
sprague field|-74.2011792 40.8586008
alumni house|-74.2014556 40.8575749
gilbreth house|-74.1977313 40.858
bond house|-74.1994473 40.8562022
university police|-74.2014034 40.8600242
maintenance building|-74.201434 40.8594829
newman catholic center|-74.1966176 40.8593264
amphitheater|-74.1992354 40.8601458
cogeneration plant|-74.2007933 40.8593604
valley road|-74.1973956 40.8581914
hawthorne gospel church|-74.1588727 40.9766452
montclair district energy plant|-74.197617 40.8643555
carparc diem|-74.1971239 40.8653203
pittser field|-74.2004401 40.8608604
bohn hall|-74.1944254 40.8636406
dioguardi field|-74.1969373 40.8684258
floyd hall arena|-74.198143 40.8658224
field house|-74.196077 40.8669812
msu softball stadium|-74.197645 40.8674378
yogi berra stadium|-74.1974756 40.867095
tennis courts|-74.1977291 40.8665517
msu vehicle maintainence|-74.1991029 40.8725362
lot|-74.2010188 40.8651838
lot|-74.2003955 40.8711333
lot|-74.1998038 40.8732323
tv tower|-74.2003687 40.8649578
nj transit deck|-74.1981728 40.8691864
montclair state university|-74.1977328 40.8649596
lot|-74.1939402 40.8674676
lot|-74.1940735 40.8679834
greenhouse|-74.1993682 40.8664267
center for clinical services|-74.1984879 40.872958
practice fields|-74.0852051 40.814013
lot k|-74.0834694 40.8139681
macks american bar  grill|-74.2914903 41.0027742
pompton auto care|-74.291132 41.0032176
saint louis the king catholic education center|-74.2913371 41.0034258
